word,slot1_count,slot2_count,slot3_count,slot4_count,slot5_count,slot6_count,slot7_count,slot8_count,dev_count,eval_count,slot1_rate_per10k,slot2_rate_per10k,slot3_rate_per10k,slot4_rate_per10k,slot5_rate_per10k,slot6_rate_per10k,slot7_rate_per10k,slot8_rate_per10k,dev_rate_per10k,eval_rate_per10k
band,0,0,0,0,13,0,4,0,6,43,0.00,0.00,0.00,0.00,21.52,0.00,3.55,0.00,2.63,6.47
migraine,0,0,0,0,0,0,0,0,36,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,6.32
harmful,1,0,1,1,0,0,0,0,20,42,1.37,0.00,1.20,1.76,0.00,0.00,0.00,0.00,8.78,6.32
relieve,0,0,0,0,0,0,0,0,30,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,6.32
sponge,0,0,0,0,0,0,0,0,62,42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.21,6.32
getting,1,0,0,0,1,0,2,1,27,42,1.37,0.00,0.00,0.00,1.66,0.00,1.78,1.24,11.85,6.32
white,0,0,0,2,0,0,0,1,21,41,0.00,0.00,0.00,3.52,0.00,0.00,0.00,1.24,9.21,6.17
song,0,0,0,0,0,0,0,1,25,41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,10.97,6.17
national,1,1,0,0,1,0,0,0,19,41,1.37,1.51,0.00,0.00,1.66,0.00,0.00,0.00,8.34,6.17
despite,0,0,0,0,0,0,0,0,20,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,6.02
details,1,2,1,1,6,5,7,1,3,40,1.37,3.02,1.20,1.76,9.93,6.47,6.21,1.24,1.32,6.02
certain,0,0,0,0,0,0,0,0,34,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.92,6.02
headaches,0,0,0,0,0,0,0,0,35,40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.36,6.02
phone,11,8,5,2,5,0,5,1,0,40,15.06,12.07,5.99,3.52,8.28,0.00,4.44,1.24,0.00,6.02
things,4,0,14,0,6,0,39,4,2,40,5.47,0.00,16.77,0.00,9.93,0.00,34.62,4.96,0.88,6.02
management,6,0,1,1,0,0,4,6,29,40,8.21,0.00,1.20,1.76,0.00,0.00,3.55,7.43,12.73,6.02
actually,1,0,0,0,0,0,3,1,24,40,1.37,0.00,0.00,0.00,0.00,0.00,2.66,1.24,10.53,6.02
trial,0,0,0,0,0,0,0,0,21,39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,5.86
place,4,2,0,3,0,11,0,2,8,39,5.47,3.02,0.00,5.27,0.00,14.24,0.00,2.48,3.51,5.86
group,6,7,16,8,1,12,3,0,10,39,8.21,10.56,19.16,14.06,1.66,15.53,2.66,0.00,4.39,5.86
it's,8,0,18,5,16,4,39,16,4,38,10.95,0.00,21.56,8.79,26.48,5.18,34.62,19.82,1.76,5.71
cool,0,0,0,1,1,0,0,0,24,38,0.00,0.00,0.00,1.76,1.66,0.00,0.00,0.00,10.53,5.71
happened,0,0,0,0,0,0,0,0,24,37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,5.56
single,4,4,0,20,4,18,5,2,14,37,5.47,6.03,0.00,35.16,6.62,23.29,4.44,2.48,6.14,5.56
days,6,8,21,1,5,9,3,17,16,37,8.21,12.07,25.15,1.76,8.28,11.65,2.66,21.06,7.02,5.56
year,3,1,0,0,0,3,8,6,24,37,4.11,1.51,0.00,0.00,0.00,3.88,7.10,7.43,10.53,5.56
aleve,0,0,0,0,0,0,0,0,38,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,5.41
really,0,0,0,0,0,0,0,2,20,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.48,8.78,5.41
mild,0,0,0,0,0,0,0,0,19,36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.34,5.41
state,3,3,2,1,2,0,17,4,11,36,4.11,4.52,2.40,1.76,3.31,0.00,15.09,4.96,4.83,5.41
consider,7,0,1,0,5,2,7,3,9,36,9.58,0.00,1.20,0.00,8.28,2.59,6.21,3.72,3.95,5.41
community,0,1,0,1,5,8,1,0,20,35,0.00,1.51,0.00,1.76,8.28,10.35,0.89,0.00,8.78,5.26
treated,0,0,0,0,0,0,0,0,20,35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,5.26
needed,4,4,9,2,6,0,11,4,21,35,5.47,6.03,10.78,3.52,9.93,0.00,9.77,4.96,9.21,5.26
professional,4,1,1,0,7,0,6,2,16,34,5.47,1.51,1.20,0.00,11.59,0.00,5.33,2.48,7.02,5.11
know,8,3,1,2,5,6,0,0,3,34,10.95,4.52,1.20,3.52,8.28,7.76,0.00,0.00,1.32,5.11
can't,16,7,30,10,25,2,47,17,7,34,21.90,10.56,35.93,17.58,41.38,2.59,41.73,21.06,3.07,5.11
choose,0,1,0,11,4,6,6,5,15,33,0.00,1.51,0.00,19.34,6.62,7.76,5.33,6.19,6.58,4.96
suggest,21,6,2,3,4,2,1,0,8,33,28.74,9.05,2.40,5.27,6.62,2.59,0.89,0.00,3.51,4.96
pregnancy,0,0,0,0,0,0,0,0,46,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.19,4.96
quality,5,0,0,9,4,10,4,4,4,33,6.84,0.00,0.00,15.82,6.62,12.94,3.55,4.96,1.76,4.96
male,1,0,0,0,0,0,0,0,32,32,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.04,4.81
release,0,15,8,0,0,8,1,5,7,32,0.00,22.62,9.58,0.00,0.00,10.35,0.89,6.19,3.07,4.81
important,0,4,2,2,8,0,0,1,16,32,0.00,6.03,2.40,3.52,13.24,0.00,0.00,1.24,7.02,4.81
especially,0,0,0,0,0,0,0,1,28,32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,12.29,4.81
temperature,4,2,0,2,0,9,0,0,28,31,5.47,3.02,0.00,3.52,0.00,11.65,0.00,0.00,12.29,4.66
form,5,3,5,2,2,2,18,0,7,31,6.84,4.52,5.99,3.52,3.31,2.59,15.98,0.00,3.07,4.66
election,0,0,0,0,0,0,0,0,19,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.34,4.66
energy,0,1,0,0,7,1,0,2,3,31,0.00,1.51,0.00,0.00,11.59,1.29,0.00,2.48,1.32,4.66
folic,0,0,0,0,0,0,0,0,54,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.70,4.66
request,9,9,12,5,17,8,36,17,8,30,12.32,13.57,14.37,8.79,28.14,10.35,31.96,21.06,3.51,4.51
items,6,4,1,27,10,10,7,22,3,30,8.21,6.03,1.20,47.46,16.55,12.94,6.21,27.25,1.32,4.51
hot,0,2,1,0,4,0,10,9,10,30,0.00,3.02,1.20,0.00,6.62,0.00,8.88,11.15,4.39,4.51
objectively,0,0,0,0,0,0,0,0,28,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.29,4.36
clean,0,1,1,7,3,6,3,7,2,29,0.00,1.51,1.20,12.30,4.97,7.76,2.66,8.67,0.88,4.36
damage,0,0,0,0,0,0,0,0,21,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,4.36
rates,0,0,8,0,1,0,4,12,13,29,0.00,0.00,9.58,0.00,1.66,0.00,3.55,14.87,5.70,4.36
memory,2,0,4,6,0,9,11,3,4,28,2.74,0.00,4.79,10.55,0.00,11.65,9.77,3.72,1.76,4.21
dates,0,6,12,3,4,8,6,8,0,28,0.00,9.05,14.37,5.27,6.62,10.35,5.33,9.91,0.00,4.21
class,0,4,4,6,2,0,8,0,4,28,0.00,6.03,4.79,10.55,3.31,0.00,7.10,0.00,1.76,4.21
free,1,2,0,2,8,3,0,0,7,28,1.37,3.02,0.00,3.52,13.24,3.88,0.00,0.00,3.07,4.21
tell,8,6,4,2,4,0,0,8,13,28,10.95,9.05,4.79,3.52,6.62,0.00,0.00,9.91,5.70,4.21
scars,0,0,0,0,0,0,0,0,47,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.62,4.21
healthy,0,0,4,1,0,0,4,0,19,27,0.00,0.00,4.79,1.76,0.00,0.00,3.55,0.00,8.34,4.06
order,21,6,13,20,4,22,8,18,11,26,28.74,9.05,15.57,35.16,6.62,28.47,7.10,22.30,4.83,3.91
decline,0,0,4,0,4,0,14,2,10,26,0.00,0.00,4.79,0.00,6.62,0.00,12.43,2.48,4.39,3.91
south,0,0,0,0,0,0,0,0,30,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,3.91
legal,9,1,4,5,2,4,1,0,2,26,12.32,1.51,4.79,8.79,3.31,5.18,0.89,0.00,0.88,3.91
second,1,1,24,7,16,3,52,20,14,26,1.37,1.51,28.74,12.30,26.48,3.88,46.16,24.78,6.14,3.91
covering,0,1,1,0,6,2,2,0,2,26,0.00,1.51,1.20,0.00,9.93,2.59,1.78,0.00,0.88,3.91
series,6,2,0,9,1,1,0,4,12,25,8.21,3.02,0.00,15.82,1.66,1.29,0.00,4.96,5.27,3.76
team,15,4,9,3,9,15,3,2,17,25,20.53,6.03,10.78,5.27,14.90,19.41,2.66,2.48,7.46,3.76
set,3,11,11,16,3,20,14,10,10,25,4.11,16.59,13.17,28.12,4.97,25.88,12.43,12.39,4.39,3.76
preference,0,0,0,0,0,0,0,0,26,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.41,3.76
slow,7,2,2,9,2,5,7,11,8,25,9.58,3.02,2.40,15.82,3.31,6.47,6.21,13.63,3.51,3.76
cream,5,0,0,0,0,0,0,0,22,25,6.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,3.76
cognition,0,0,0,0,0,0,0,0,30,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,3.61
local,0,0,9,1,1,2,5,2,30,24,0.00,0.00,10.78,1.76,1.66,2.59,4.44,2.48,13.16,3.61
number,19,9,8,6,10,34,4,10,7,24,26.01,13.57,9.58,10.55,16.55,44.00,3.55,12.39,3.07,3.61
directed,0,0,0,0,0,0,1,0,21,24,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,9.21,3.61
running,9,0,6,0,3,6,8,5,0,24,12.32,0.00,7.19,0.00,4.97,7.76,7.10,6.19,0.00,3.61
countries,0,0,0,0,0,0,0,0,22,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,3.61
need,20,3,25,23,23,7,41,14,27,24,27.37,4.52,29.94,40.43,38.07,9.06,36.40,17.34,11.85,3.61
term,0,0,0,0,0,0,0,0,25,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.97,3.61
medication,0,0,0,0,0,0,0,0,22,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,3.61
alcohol,0,0,0,1,0,0,0,0,20,23,0.00,0.00,0.00,1.76,0.00,0.00,0.00,0.00,8.78,3.46
methods,0,5,0,2,8,0,3,1,2,23,0.00,7.54,0.00,3.52,13.24,0.00,2.66,1.24,0.88,3.46
role,0,0,4,0,0,0,10,10,21,23,0.00,0.00,4.79,0.00,0.00,0.00,8.88,12.39,9.21,3.46
pack,0,0,0,0,0,0,1,0,19,22,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,8.34,3.31
changes,6,3,4,0,6,7,8,4,9,22,8.21,4.52,4.79,0.00,9.93,9.06,7.10,4.96,3.95,3.31
green,1,0,0,1,1,1,16,1,4,22,1.37,0.00,0.00,1.76,1.66,1.29,14.20,1.24,1.76,3.31
court,8,2,0,1,1,0,1,0,2,22,10.95,3.02,0.00,1.76,1.66,0.00,0.89,0.00,0.88,3.31
available,6,0,0,10,3,4,0,3,4,22,8.21,0.00,0.00,17.58,4.97,5.18,0.00,3.72,1.76,3.31
short,6,12,2,3,10,5,4,4,7,22,8.21,18.10,2.40,5.27,16.55,6.47,3.55,4.96,3.07,3.31
guide,0,11,2,0,8,4,4,2,8,21,0.00,16.59,2.40,0.00,13.24,5.18,3.55,2.48,3.51,3.16
users,30,7,5,8,9,2,14,4,4,21,41.06,10.56,5.99,14.06,14.90,2.59,12.43,4.96,1.76,3.16
heterosexual,0,0,0,0,0,0,0,0,22,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,3.16
preferences,0,1,12,0,0,0,1,0,6,21,0.00,1.51,14.37,0.00,0.00,0.00,0.89,0.00,2.63,3.16
clothing,0,0,0,0,0,0,0,0,28,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.29,3.16
base,2,0,19,11,3,1,8,9,0,20,2.74,0.00,22.75,19.34,4.97,1.29,7.10,11.15,0.00,3.01
improved,0,2,0,2,0,0,0,0,20,20,0.00,3.02,0.00,3.52,0.00,0.00,0.00,0.00,8.78,3.01
related,0,0,5,0,0,0,0,2,21,20,0.00,0.00,5.99,0.00,0.00,0.00,0.00,2.48,9.21,3.01
warm,1,1,0,0,0,0,5,9,2,20,1.37,1.51,0.00,0.00,0.00,0.00,4.44,11.15,0.88,3.01
answering,0,0,0,0,0,0,0,0,24,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,3.01
created,17,0,2,1,4,0,1,0,11,20,23.27,0.00,2.40,1.76,6.62,0.00,0.89,0.00,4.83,3.01
sleep,0,1,1,1,4,0,3,0,19,20,0.00,1.51,1.20,1.76,6.62,0.00,2.66,0.00,8.34,3.01
data,25,24,35,21,25,22,39,32,10,19,34.22,36.20,41.92,36.91,41.38,28.47,34.62,39.64,4.39,2.86
hard,0,24,0,19,29,21,18,21,8,19,0.00,36.20,0.00,33.40,48.00,27.18,15.98,26.02,3.51,2.86
needs,5,1,0,11,3,11,8,8,6,19,6.84,1.51,0.00,19.34,4.97,14.24,7.10,9.91,2.63,2.86
test,15,24,44,6,7,13,39,43,2,19,20.53,36.20,52.69,10.55,11.59,16.82,34.62,53.27,0.88,2.86
illegal,8,1,2,4,3,0,4,0,0,19,10.95,1.51,2.40,7.03,4.97,0.00,3.55,0.00,0.00,2.86
counter,0,0,0,11,0,0,3,0,10,19,0.00,0.00,0.00,19.34,0.00,0.00,2.66,0.00,4.39,2.86
rest,0,1,2,2,5,2,8,3,5,19,0.00,1.51,2.40,3.52,8.28,2.59,7.10,3.72,2.19,2.86
description,4,3,0,0,8,0,5,9,0,19,5.47,4.52,0.00,0.00,13.24,0.00,4.44,11.15,0.00,2.86
candidate,5,0,0,1,2,12,1,3,0,18,6.84,0.00,0.00,1.76,3.31,15.53,0.89,3.72,0.00,2.71
style,8,0,0,0,2,0,2,0,2,18,10.95,0.00,0.00,0.00,3.31,0.00,1.78,0.00,0.88,2.71
ibuprofen,0,0,0,0,0,0,0,0,26,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.41,2.71
applying,0,0,0,0,0,1,0,0,22,18,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,9.65,2.71
groups,0,4,0,1,0,10,0,0,2,18,0.00,6.03,0.00,1.76,0.00,12.94,0.00,0.00,0.88,2.71
love,1,0,0,0,6,0,0,6,5,18,1.37,0.00,0.00,0.00,9.93,0.00,0.00,7.43,2.19,2.71
uses,13,9,3,12,3,6,9,15,3,18,17.79,13.57,3.59,21.09,4.97,7.76,7.99,18.58,1.32,2.71
region,0,0,1,1,1,0,0,29,2,18,0.00,0.00,1.20,1.76,1.66,0.00,0.00,35.93,0.88,2.71
shared,0,6,0,1,6,3,1,2,3,17,0.00,9.05,0.00,1.76,9.93,3.88,0.89,2.48,1.32,2.56
security,19,3,29,2,18,0,33,14,3,17,26.01,4.52,34.73,3.52,29.79,0.00,29.30,17.34,1.32,2.56
product,4,3,5,5,7,9,4,5,0,17,5.47,4.52,5.99,8.79,11.59,11.65,3.55,6.19,0.00,2.56
range,0,6,2,14,0,16,1,8,22,17,0.00,9.05,2.40,24.61,0.00,20.71,0.89,9.91,9.65,2.56
create,33,30,38,16,11,26,28,28,4,17,45.17,45.25,45.51,28.12,18.21,33.65,24.86,34.69,1.76,2.56
bar,10,1,0,2,0,0,1,2,14,17,13.69,1.51,0.00,3.52,0.00,0.00,0.89,2.48,6.14,2.56
river,0,0,0,1,6,0,0,0,0,17,0.00,0.00,0.00,1.76,9.93,0.00,0.00,0.00,0.00,2.56
public,4,13,6,1,7,0,7,0,10,16,5.47,19.61,7.19,1.76,11.59,0.00,6.21,0.00,4.39,2.41
events,0,1,4,7,3,12,1,0,0,16,0.00,1.51,4.79,12.30,4.97,15.53,0.89,0.00,0.00,2.41
teenager,0,0,0,0,0,0,2,0,23,16,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,10.09,2.41
million,4,0,0,0,0,0,0,0,21,16,5.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.21,2.41
focus,0,7,2,0,6,2,3,1,8,16,0.00,10.56,2.40,0.00,9.93,2.59,2.66,1.24,3.51,2.41
access,19,3,13,0,5,8,14,11,16,16,26.01,4.52,15.57,0.00,8.28,10.35,12.43,13.63,7.02,2.41
supplementation,0,0,0,0,0,0,0,0,24,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,2.41
allowed,0,0,14,0,4,0,30,7,0,16,0.00,0.00,16.77,0.00,6.62,0.00,26.63,8.67,0.00,2.41
note,3,8,2,3,3,0,1,8,5,16,4.11,12.07,2.40,5.27,4.97,0.00,0.89,9.91,2.19,2.41
point,1,5,4,2,4,4,10,12,8,16,1.37,7.54,4.79,3.52,6.62,5.18,8.88,14.87,3.51,2.41
providing,1,0,10,1,4,0,12,7,2,16,1.37,0.00,11.98,1.76,6.62,0.00,10.65,8.67,0.88,2.41
muscle,0,2,0,1,5,2,0,0,33,15,0.00,3.02,0.00,1.76,8.28,2.59,0.00,0.00,14.48,2.26
user,49,2,33,15,12,17,39,10,0,15,67.07,3.02,39.52,26.37,19.86,22.00,34.62,12.39,0.00,2.26
add,34,35,28,12,3,28,18,15,2,15,46.54,52.79,33.53,21.09,4.97,36.24,15.98,18.58,0.88,2.26
production,10,28,21,0,2,8,22,40,8,15,13.69,42.23,25.15,0.00,3.31,10.35,19.53,49.55,3.51,2.26
start,3,4,7,10,3,6,2,10,2,15,4.11,6.03,8.38,17.58,4.97,7.76,1.78,12.39,0.88,2.26
old,1,4,8,0,3,12,1,4,5,15,1.37,6.03,9.58,0.00,4.97,15.53,0.89,4.96,2.19,2.26
room,9,3,6,1,5,13,1,0,4,15,12.32,4.52,7.19,1.76,8.28,16.82,0.89,0.00,1.76,2.26
starting,2,9,2,0,5,0,1,5,1,15,2.74,13.57,2.40,0.00,8.28,0.00,0.89,6.19,0.44,2.26
proper,2,1,8,2,1,0,11,0,2,14,2.74,1.51,9.58,3.52,1.66,0.00,9.77,0.00,0.88,2.11
results,7,9,1,2,1,0,7,4,4,14,9.58,13.57,1.20,3.52,1.66,0.00,6.21,4.96,1.76,2.11
review,10,8,20,0,9,15,11,10,5,14,13.69,12.07,23.95,0.00,14.90,19.41,9.77,12.39,2.19,2.11
left,6,0,0,12,1,0,2,6,10,14,8.21,0.00,0.00,21.09,1.66,0.00,1.78,7.43,4.39,2.11
standard,0,0,1,0,0,2,14,7,16,14,0.00,0.00,1.20,0.00,0.00,2.59,12.43,8.67,7.02,2.11
managed,1,2,11,2,4,0,11,2,0,14,1.37,3.02,13.17,3.52,6.62,0.00,9.77,2.48,0.00,2.11
records,5,8,7,2,2,4,7,4,3,14,6.84,12.07,8.38,3.52,3.31,5.18,6.21,4.96,1.32,2.11
vitamins,0,0,0,0,0,0,0,0,34,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.92,2.11
district,0,0,0,0,0,0,2,0,22,14,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,9.65,2.11
present,0,0,10,0,0,0,4,5,4,14,0.00,0.00,11.98,0.00,0.00,0.00,3.55,6.19,1.76,2.11
size,6,4,6,12,5,18,9,9,6,13,8.21,6.03,7.19,21.09,8.28,23.29,7.99,11.15,2.63,1.95
history,2,4,0,1,9,5,2,0,1,13,2.74,6.03,0.00,1.76,14.90,6.47,1.78,0.00,0.44,1.95
example,5,16,14,0,4,0,16,17,6,13,6.84,24.13,16.77,0.00,6.62,0.00,14.20,21.06,2.63,1.95
list,2,60,6,89,11,164,19,75,6,13,2.74,90.50,7.19,156.44,18.21,212.24,16.87,92.91,2.63,1.95
true,1,1,8,6,2,7,12,8,2,13,1.37,1.51,9.58,10.55,3.31,9.06,10.65,9.91,0.88,1.95
rate,3,1,7,1,3,6,33,8,4,13,4.11,1.51,8.38,1.76,4.97,7.76,29.30,9.91,1.76,1.95
briefly,14,1,3,8,6,0,12,0,6,13,19.16,1.51,3.59,14.06,9.93,0.00,10.65,0.00,2.63,1.95
status,16,17,20,10,6,10,5,20,0,13,21.90,25.64,23.95,17.58,9.93,12.94,4.44,24.78,0.00,1.95
event,0,0,4,2,6,2,3,1,10,12,0.00,0.00,4.79,3.52,9.93,2.59,2.66,1.24,4.39,1.80
mainly,0,0,0,0,0,0,0,0,19,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.34,1.80
worker,12,4,2,0,0,4,1,4,2,12,16.42,6.03,2.40,0.00,0.00,5.18,0.89,4.96,0.88,1.80
hour,11,1,13,0,1,12,9,3,0,12,15.06,1.51,15.57,0.00,1.66,15.53,7.99,3.72,0.00,1.80
result,1,1,1,24,0,17,5,9,2,12,1.37,1.51,1.20,42.19,0.00,22.00,4.44,11.15,0.88,1.80
promote,4,9,12,1,0,4,1,12,4,12,5.47,13.57,14.37,1.76,0.00,5.18,0.89,14.87,1.76,1.80
weekly,4,0,0,4,6,1,1,0,2,12,5.47,0.00,0.00,7.03,9.93,1.29,0.89,0.00,0.88,1.80
price,3,0,0,0,0,15,0,1,0,12,4.11,0.00,0.00,0.00,0.00,19.41,0.00,1.24,0.00,1.80
receive,5,8,1,0,0,0,3,0,17,12,6.84,12.07,1.20,0.00,0.00,0.00,2.66,0.00,7.46,1.80
applied,0,12,0,0,0,0,0,1,6,12,0.00,18.10,0.00,0.00,0.00,0.00,0.00,1.24,2.63,1.80
social,7,14,4,5,12,0,1,0,11,11,9.58,21.12,4.79,8.79,19.86,0.00,0.89,0.00,4.83,1.65
parent,0,0,0,6,0,0,0,1,0,11,0.00,0.00,0.00,10.55,0.00,0.00,0.00,1.24,0.00,1.65
seen,0,6,0,15,0,16,0,10,2,11,0.00,9.05,0.00,26.37,0.00,20.71,0.00,12.39,0.88,1.65
specific,3,16,10,2,12,11,8,2,4,11,4.11,24.13,11.98,3.52,19.86,14.24,7.10,2.48,1.76,1.65
fast,1,3,0,9,4,0,5,7,1,11,1.37,4.52,0.00,15.82,6.62,0.00,4.44,8.67,0.44,1.65
write,15,25,22,30,21,40,36,28,4,11,20.53,37.71,26.35,52.73,34.76,51.77,31.96,34.69,1.76,1.65
store,5,1,2,12,5,5,15,6,3,11,6.84,1.51,2.40,21.09,8.28,6.47,13.32,7.43,1.32,1.65
identify,10,1,9,0,1,2,0,0,0,11,13.69,1.51,10.78,0.00,1.66,2.59,0.00,0.00,0.00,1.65
labeled,5,0,0,10,4,6,3,5,0,11,6.84,0.00,0.00,17.58,6.62,7.76,2.66,6.19,0.00,1.65
that's,23,7,13,0,10,2,9,5,10,11,31.48,10.56,15.57,0.00,16.55,2.59,7.99,6.19,4.39,1.65
tax,9,1,0,0,2,0,0,0,9,10,12.32,1.51,0.00,0.00,3.31,0.00,0.00,0.00,3.95,1.50
techniques,1,9,6,0,14,2,11,3,3,10,1.37,13.57,7.19,0.00,23.17,2.59,9.77,3.72,1.32,1.50
confirm,10,5,1,0,1,0,8,4,0,10,13.69,7.54,1.20,0.00,1.66,0.00,7.10,4.96,0.00,1.50
features,9,0,3,12,1,7,10,3,4,10,12.32,0.00,3.59,21.09,1.66,9.06,8.88,3.72,1.76,1.50
open,2,1,2,2,2,1,11,4,9,10,2.74,1.51,2.40,3.52,3.31,1.29,9.77,4.96,3.95,1.50
flow,0,2,0,0,5,0,16,4,3,10,0.00,3.02,0.00,0.00,8.28,0.00,14.20,4.96,1.32,1.50
sales,0,3,0,0,0,12,1,0,2,10,0.00,4.52,0.00,0.00,0.00,15.53,0.89,0.00,0.88,1.50
smoke,4,9,12,0,0,12,4,15,0,10,5.47,13.57,14.37,0.00,0.00,15.53,3.55,18.58,0.00,1.50
total,5,0,1,6,3,5,8,4,4,10,6.84,0.00,1.20,10.55,4.97,6.47,7.10,4.96,1.76,1.50
reviews,13,0,0,0,0,0,0,1,4,10,17.79,0.00,0.00,0.00,0.00,0.00,0.00,1.24,1.76,1.50
allow,7,0,8,0,1,0,8,8,0,10,9.58,0.00,9.58,0.00,1.66,0.00,7.10,9.91,0.00,1.50
fraud,17,1,5,3,8,0,10,0,7,10,23.27,1.51,5.99,5.27,13.24,0.00,8.88,0.00,3.07,1.50
reverse,6,0,0,13,1,1,0,5,1,10,8.21,0.00,0.00,22.85,1.66,1.29,0.00,6.19,0.44,1.50
tests,4,14,16,0,0,23,14,16,2,10,5.47,21.12,19.16,0.00,0.00,29.77,12.43,19.82,0.88,1.50
clearly,0,0,1,1,7,0,5,1,4,10,0.00,0.00,1.20,1.76,11.59,0.00,4.44,1.24,1.76,1.50
antibiotics,0,0,0,0,0,0,0,0,42,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.43,1.50
guidance,0,0,7,0,6,0,6,0,3,9,0.00,0.00,8.38,0.00,9.93,0.00,5.33,0.00,1.32,1.35
read,1,2,2,2,6,3,9,3,7,9,1.37,3.02,2.40,3.52,9.93,3.88,7.99,3.72,3.07,1.35
center,0,0,0,7,1,0,0,0,0,9,0.00,0.00,0.00,12.30,1.66,0.00,0.00,0.00,0.00,1.35
plan,5,3,0,0,5,1,0,4,0,9,6.84,4.52,0.00,0.00,8.28,1.29,0.00,4.96,0.00,1.35
practices,0,0,7,3,6,0,9,2,8,9,0.00,0.00,8.38,5.27,9.93,0.00,7.99,2.48,3.51,1.35
household,0,0,0,2,6,0,2,0,0,9,0.00,0.00,0.00,3.52,9.93,0.00,1.78,0.00,0.00,1.35
fails,1,0,0,0,1,8,1,1,0,9,1.37,0.00,0.00,0.00,1.66,10.35,0.89,1.24,0.00,1.35
select,15,25,6,14,8,6,15,12,4,9,20.53,37.71,7.19,24.61,13.24,7.76,13.32,14.87,1.76,1.35
return,15,27,4,51,2,73,22,34,2,9,20.53,40.72,4.79,89.65,3.31,94.47,19.53,42.12,0.88,1.35
incident,16,8,16,0,4,12,0,16,0,8,21.90,12.07,19.16,0.00,6.62,15.53,0.00,19.82,0.00,1.20
primary,0,32,8,2,2,2,0,30,2,8,0.00,48.27,9.58,3.52,3.31,2.59,0.00,37.17,0.88,1.20
attacks,2,3,3,1,4,0,11,2,7,8,2.74,4.52,3.59,1.76,6.62,0.00,9.77,2.48,3.07,1.20
address,10,6,5,2,4,4,10,0,5,8,13.69,9.05,5.99,3.52,6.62,5.18,8.88,0.00,2.19,1.20
internal,0,17,4,1,5,0,2,1,0,8,0.00,25.64,4.79,1.76,8.28,0.00,1.78,1.24,0.00,1.20
rules,8,0,13,1,3,2,1,6,0,8,10.95,0.00,15.57,1.76,4.97,2.59,0.89,7.43,0.00,1.20
extra,0,5,2,12,0,13,2,4,6,8,0.00,7.54,2.40,21.09,0.00,16.82,1.78,4.96,2.63,1.20
speech,0,3,0,7,1,2,0,0,0,8,0.00,4.52,0.00,12.30,1.66,2.59,0.00,0.00,0.00,1.20
east,0,0,0,0,0,0,2,3,29,8,0.00,0.00,0.00,0.00,0.00,0.00,1.78,3.72,12.73,1.20
